config;Unrestricted;Pairwise WGs;Scratchpad as compute;Scratchpad as access;'-s pairwise\\_wg;no\\_parallel\\_compute\\_spâ€™;;;
cnn_convolution;24462378;25490430;35643582;30118455;35643582;;4,03%;0,313694734721106;0,187794393835939
cnn_maxpool;368726;447125;533841;499764;533841;;17,53%;0,309296213666616;0,262199758285911
cnn_relu;58985;58985;58985;58985;58985;;0,00%;0;0
fft;216062;242970;242970;315167;242970;;11,07%;0,110746182656295;0,314452337966856
kfusion_depth2vertex;350894;350894;330741;368126;330741;;0,00%;-0,060932874968631;0,046810059599159
kfusion_halfSampleRobustImage;102770;122233;128090;131463;128090;;15,92%;0,19767351081271;0,218259129945308
kfusion_track;7015098;7015098;7042173;7249308;7042173;;0,00%;0,003844693960231;0,032307911320639
kfusion_vertex2normal;522664;613709;751659;762549;751659;;14,84%;0,304652774728966;0,314583062858911
mriq_computePhiMag;1291;1291;1291;1291;1291;;0,00%;0;0
mriq_computeQ;86547947;86862057;87930877;87146263;87930877;;0,36%;0,015727467383272;0,006865652976996
spmv;1438668;1438691;1438766;1461661;1438766;;0,00%;6,81139254055108E-05;0,015730733733745
srad2;1653467;1653467;1653467;1653467;1653467;;0,00%;0;0
srad_reduce;286514;330009;408329;347266;408329;;13,18%;0,298325614884076;0,174943703097913
srad;1722603;1722603;1722603;1733908;1725240;;0,00%;0;0,006519953769173
stencil;970810;970810;970810;970810;970810;;0,00%;0;0
;;;;;;;6,99%;0,135736039251822;0,143678790671868
